_id,dataset_material,vacancy_sites,substitution_sites,defect_sites,to_strata,band_gap_value
GaSe_In1Ga71Se70S1_1e596925-b8eb-4f25-bf99-c17ced2367b5,high_GaSe,1.0,2.0,3.0,GaSe_0.02083,1.2924000000000007
GaSe_Ga71Se70_4b6fd04f-ae51-4538-9eed-320e45367da3,high_GaSe,3.0,0.0,3.0,GaSe_0.02083,1.069700000000001
GaSe_Ga71Se70S1_087e33fc-ba29-429d-bcd2-cd37a30f341d,high_GaSe,2.0,1.0,3.0,GaSe_0.02083,1.1352499999999992
GaSe_In1Ga70Se71S1_bde28bf1-e040-496b-80b9-18511b63d7d6,high_GaSe,1.0,2.0,3.0,GaSe_0.02083,1.5847500000000014
GaSe_Ga71Se70S1_eed53980-4b0b-419e-a87c-a495e64df4f1,high_GaSe,2.0,1.0,3.0,GaSe_0.02083,1.3133
GaSe_In1Ga71Se70_1a7d1202-962a-4938-b22b-627581c1f450,high_GaSe,2.0,1.0,3.0,GaSe_0.02083,1.2540999999999993
GaSe_In1Ga70Se71S1_191a717f-e6e5-410f-8b58-bd6a610881fc,high_GaSe,1.0,2.0,3.0,GaSe_0.02083,1.568500000000002
GaSe_In1Ga70Se71S1_de69b77c-6872-4811-a64e-9150686c7e2a,high_GaSe,1.0,2.0,3.0,GaSe_0.02083,1.5665499999999994
GaSe_Ga71Se70S1_a781386f-d22b-4efe-9a6a-73591d9ca2df,high_GaSe,2.0,1.0,3.0,GaSe_0.02083,1.2589000000000006
GaSe_Ga71Se70S1_f71fb5c7-915c-437c-bd04-b46180e04740,high_GaSe,2.0,1.0,3.0,GaSe_0.02083,1.1361999999999988
GaSe_Ga72Se69S1_90b1b09f-acf0-46e6-8173-a2e71c884054,high_GaSe,2.0,1.0,3.0,GaSe_0.02083,1.2683999999999997
GaSe_Ga72Se69S2_50eaa5cb-d532-42c5-ba4b-7abc4230e6e7,high_GaSe,1.0,2.0,3.0,GaSe_0.02083,1.313399999999998
GaSe_In1Ga71Se70S2_e486dae7-3e98-484c-b411-f683a7f3d5b3,high_GaSe,0.0,3.0,3.0,GaSe_0.02083,1.7935000000000016
GaSe_Ga70Se71S1_0c898e1c-d523-49be-a129-b60c4e48b36d,high_GaSe,2.0,1.0,3.0,GaSe_0.02083,1.5877499999999998
GaSe_Ga71Se70S1_b1198923-3111-406a-8851-1d7a4e08e315,high_GaSe,2.0,1.0,3.0,GaSe_0.02083,1.2017000000000007
GaSe_In1Ga71Se70S1_6da2f8de-0172-41dd-a2bd-9cfe4d1d1971,high_GaSe,1.0,2.0,3.0,GaSe_0.02083,1.3436000000000021
