_id,dataset_material,vacancy_sites,substitution_sites,defect_sites,to_strata,band_gap_value
InSe_In70Se71_72e0e514-b756-42a9-b3f2-2b1e00c10113,high_InSe,3.0,0.0,3.0,InSe_0.02083,0.6106999999999996
InSe_In70Ga2Se71S1_26bbfd31-5bf6-4567-aa7a-1d2c81a3fa93,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.3139000000000003
InSe_In71Ga1Se70S1_62c52d3d-e0c4-48ee-a9ed-6f6a5c2b2fc1,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1353999999999989
InSe_In70Ga1Se71_0cf6df90-f056-4dbf-a63a-6660ee1622d9,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.048899999999998
InSe_In70Se71S1_cf386f02-a025-440c-b521-e10b6cebe7ed,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.184849999999999
InSe_In70Se71S1_b5d9dd4a-2b69-49cc-a5a7-0b271b65a681,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.123800000000001
InSe_In69Ga2Se72_bb4d8c38-a0b1-4238-bcc9-a9fac06f57dc,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1796500000000005
InSe_In70Se71S1_0d46e760-30db-4377-8110-3e0193bd9b0e,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.0185999999999993
InSe_In71Ga1Se70S2_747a6102-ed2b-4d45-8978-fc37ec160f3f,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.3211999999999993
InSe_In72Se69S3_1900f7c6-e58f-4e7e-884a-9c98ac0618a0,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.3452000000000002
InSe_In71Ga1Se70S1_88c8f623-26aa-4d03-a4ab-03fcfc5a47fe,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1296
InSe_In71Se70S1_1628e2c4-11b4-4217-ab53-4e5a9ae52583,high_InSe,2.0,1.0,3.0,InSe_0.02083,0.9577500000000008
InSe_In71Se70S1_a051878c-b733-48ec-95a5-58c9ee033596,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.08155
InSe_In71Se70S2_c7f358bc-b06a-43f0-8ffe-26966f326284,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1996999999999982
InSe_In72Se69S1_28699bf4-373f-4394-8cd9-bfd652afb81f,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.0639000000000003
InSe_In71Ga1Se70S2_b0f9bf4e-ed54-48d6-8ec7-5ca2ad4397d1,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.320500000000001
InSe_In70Se71S1_af151ef4-0caa-40b7-9c1c-8aeb29fcd097,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.1852499999999981
InSe_In70Ga1Se71S1_ac44c54c-8f8b-4a72-9ed2-9f4c660c9a6b,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1923999999999992
InSe_In70Ga2Se71S1_9e6046ae-cd64-43a2-bb62-1a28196c37df,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.3097499999999993
InSe_In72Se69S1_080cb2f0-9602-45f8-a0a6-2b74de94c0df,high_InSe,2.0,1.0,3.0,InSe_0.02083,0.9060999999999986
InSe_In71Ga1Se70S1_a5453d12-f5fe-433f-a0fb-524001b2fac5,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1191499999999994
InSe_In70Se71_6c73762a-4720-4e78-8e99-e7a8aaed3495,high_InSe,3.0,0.0,3.0,InSe_0.02083,0.8542500000000004
InSe_In71Se70S2_74c9831c-91ac-4908-aabd-0404786527fd,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.2025000000000006
InSe_In71Se70_77a2fd80-5f47-4f01-85fc-aeff28e98565,high_InSe,3.0,0.0,3.0,InSe_0.02083,0.6954999999999991
InSe_In70Ga2Se71_958e6d3f-5f38-476a-8e80-bf1f27d9f3b5,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1309000000000005
InSe_In71Ga1Se70S1_7e264ab9-3eb3-4de1-b9fb-16d1ddab0bf5,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1233000000000004
InSe_In70Se71_70afb01c-b418-4e5d-ad50-1111f700896b,high_InSe,3.0,0.0,3.0,InSe_0.02083,0.9036999999999988
InSe_In72Se69S2_fcb2d6c2-dee5-4a34-a3d1-e9f4ff9fa523,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1300999999999988
InSe_In72Se69S1_dad7d20f-19ab-422d-b7c3-660ad36831b3,high_InSe,2.0,1.0,3.0,InSe_0.02083,0.6518000000000015
InSe_In71Ga1Se70S2_733541e7-2687-4f7a-ba7a-ae4d42ad7e8e,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.319749999999999
InSe_In71Ga1Se70S1_f95a33a7-6317-45a6-ac47-d722fcc47d56,high_InSe,1.0,2.0,3.0,InSe_0.02083,1.1270500000000006
InSe_In69Ga3Se72_d4de76fa-a6fa-4f66-825f-696819f2475d,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.3025000000000002
InSe_In70Ga2Se71S1_c39ba469-ca5f-49f9-abf8-f02f11a93256,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.3126999999999995
InSe_In70Ga2Se71S1_7eab271c-c7fb-4947-beb7-eb97b50d4169,high_InSe,0.0,3.0,3.0,InSe_0.02083,1.3121500000000008
InSe_In70Se71_9b52cb58-4b32-4e03-99fe-b1f00b289bdb,high_InSe,3.0,0.0,3.0,InSe_0.02083,0.6588999999999992
InSe_In69Ga1Se72_dae3a529-5c89-4f7d-9028-a443652dbdc5,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.1098999999999997
InSe_In69Ga1Se72_448b83a5-9b71-4dbd-b5dd-c50618de5ab6,high_InSe,2.0,1.0,3.0,InSe_0.02083,1.1209000000000007
