_id,dataset_material,vacancy_sites,substitution_sites,defect_sites,to_strata,Formation_Energy,band_gap_value
6141cf0efbfd4bd9ab2c2f7e,low_MoS2,1.0,0.0,1.0,MoS2_0.00521,10.899686020000036,1.1452000000000027
6141cf0f51c1cbd9654b8870,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,21.814278570000035,1.084299999999999
6141cf0fe689ecc4c43cdd4b,low_MoS2,0.0,1.0,1.0,MoS2_0.00521,1.5549590799999695,1.8033000000000001
6141cf10b842c2e72e2f2d44,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.1315069999999885,1.8094999999999999
6141cf1051c1cbd9654b8872,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,21.834423150000113,1.110199999999999
6141cf10b842c2e72e2f2d46,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.132817159999991,1.8093000000000004
6141cf11cc0e69a0cf28ab35,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.473690460000071,1.1484000000000023
6141cf11b842c2e72e2f2d48,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.1409925600000186,1.8068000000000026
6141cf11ae4fb853db2e3f14,low_MoS2,1.0,0.0,1.0,MoS2_0.00521,28.987876599999993,0.4049000000000049
6141cf11cc0e69a0cf28ab37,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.477472290000051,1.1475000000000009
6141cf12b842c2e72e2f2d4a,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.1300156900000964,1.8074999999999974
6141cf12cc0e69a0cf28ab39,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.478704089999965,1.1477000000000004
6141cf1202d926221cabc545,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,39.90895471999998,0.4170999999999978
6141cf13cc0e69a0cf28ab3b,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.47742636000011,1.146499999999996
6141cf1302d926221cabc547,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,39.90919468999992,0.40980000000000416
6141cf13b842c2e72e2f2d4c,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.132044489999931,1.8100999999999985
6141cf133ac25c70a5c6c837,low_MoS2,3.0,0.0,3.0,MoS2_0.01562,50.80207215000011,0.3605000000000018
6141cf1351c1cbd9654b8874,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,21.83708437000005,1.0818999999999974
6141cf1369b0784ffcf8f84f,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.56857871000002,0.40330000000000155
6141cf13cc0e69a0cf28ab3d,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.470222479999975,1.1432000000000002
6141cf1302d926221cabc549,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,39.90018135000001,0.41689999999999827
6141cf143ac25c70a5c6c839,low_MoS2,3.0,0.0,3.0,MoS2_0.01562,50.81689982999993,0.33910000000000196
6141cf1469b0784ffcf8f851,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.563737659999923,0.404200000000003
6141cf14b842c2e72e2f2d4e,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.1326604499999355,1.8094000000000037
6141cf14ee0a3fd43fb479d7,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.121162059999946,0.37809999999999633
6141cf14cc0e69a0cf28ab3f,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.476851810000099,1.1456000000000017
6141cf1469b0784ffcf8f853,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.565077010000003,0.4040999999999997
6141cf15ee0a3fd43fb479d9,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.122040330000104,0.34830000000000183
6141cf1531cf3ef3d4a9ed3e,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,41.460345460000056,0.3819999999999979
6141cf15cc0e69a0cf28ab41,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.475001570000032,1.1448999999999998
6141cf1502d926221cabc54b,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,39.81736476000002,0.299199999999999
6141cf153ac25c70a5c6c83b,low_MoS2,3.0,0.0,3.0,MoS2_0.01562,50.820722999999965,0.4287999999999954
6141cf15b842c2e72e2f2d50,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.1325249499999934,1.8096000000000032
6141cf15c819ca30b196b473,low_MoS2,0.0,1.0,1.0,MoS2_0.00521,-3.988111409999977,1.8001000000000005
6141cf1569b0784ffcf8f855,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.568276410000088,0.4031999999999982
6141cf15ee0a3fd43fb479db,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.14923321000013,0.39759999999999707
6141cf1531cf3ef3d4a9ed40,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,41.478774890000025,0.40749999999999886
6141cf16cc0e69a0cf28ab43,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.45895112999996,1.1408000000000058
6141cf16b842c2e72e2f2d52,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.133279900000094,1.8097999999999956
6141cf16a05be5973bd77a67,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,6.954127359999974,1.1383999999999972
6141cf1602d926221cabc54d,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,39.86319291000005,0.4118000000000066
6141cf16ee0a3fd43fb479dd,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.13817704999995,0.4012999999999991
6141cf1669b0784ffcf8f857,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.552341879999993,0.40050000000000097
6141cf1631cf3ef3d4a9ed42,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,41.460780510000134,0.4084000000000003
6141cf16a05be5973bd77a69,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,6.9278259700001295,1.1496999999999957
6141cf1651c1cbd9654b8876,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,21.846119120000004,0.9606999999999957
6141cf16baaf234b35290186,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,17.867473499999953,1.1040999999999954
6141cf173ac25c70a5c6c83d,low_MoS2,3.0,0.0,3.0,MoS2_0.01562,50.72527363999999,0.30699999999999505
6141cf17b842c2e72e2f2d54,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.135240080000063,1.8081999999999994
6141cf17ee0a3fd43fb479df,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.14427833000012,0.4014000000000024
6141cf1769b0784ffcf8f859,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.544551470000123,0.3526999999999987
6141cf17a05be5973bd77a6b,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,6.935595900000124,1.1461000000000041
6141cf17baaf234b35290188,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,17.869285870000105,1.108399999999996
6141cf1731cf3ef3d4a9ed44,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,41.486953770000085,0.40509999999999735
6141cf1702d926221cabc54f,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,39.91058211000005,0.4136999999999986
6141cf171d648932fbc3428f,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,-2.4095679299998896,1.8025999999999982
6141cf17cc0e69a0cf28ab45,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.474930980000082,1.1447000000000003
6141cf18ee0a3fd43fb479e1,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.13170089000003,0.3958999999999975
6141cf18b842c2e72e2f2d56,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.132472080000003,1.8089000000000013
6141cf18baaf234b3529018a,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,17.860746909999982,1.0022999999999982
6141cf1869b0784ffcf8f85b,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.378087259999937,0.267000000000003
6141cf181d648932fbc34291,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,-2.4094943899999866,1.8030000000000044
6141cf1831cf3ef3d4a9ed46,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,41.4409886800001,0.37189999999999657
6141cf18a05be5973bd77a6d,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,6.934634899999936,1.1458000000000013
6141cf189cbada84a86767c3,low_MoS2,0.0,3.0,3.0,MoS2_0.01562,-0.8226634899999112,1.807300000000005
6141cf18baaf234b3529018c,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,17.871334299999937,1.1045999999999978
6141cf1802d926221cabc551,low_MoS2,2.0,0.0,2.0,MoS2_0.01042,39.85398980000001,0.380900000000004
6141cf181d648932fbc34293,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,-2.409360590000029,1.8025999999999982
6141cf184e27a1844a5efffa,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,8.513260120000066,1.1452000000000027
6141cf18ee0a3fd43fb479e3,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.1483510800001,0.4001000000000019
6141cf18cc0e69a0cf28ab47,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.478274230000025,1.1458999999999975
6141cf18b842c2e72e2f2d58,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,3.1308554900000907,1.8105000000000047
6141cf1969b0784ffcf8f85d,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.510302820000014,0.4059999999999988
6141cf199cbada84a86767c5,low_MoS2,0.0,3.0,3.0,MoS2_0.01562,-0.8318612800000551,1.809199999999997
6141cf19a05be5973bd77a6f,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,6.932983569999977,1.1424999999999983
6141cf193ac25c70a5c6c83f,low_MoS2,3.0,0.0,3.0,MoS2_0.01562,48.83074982000009,0.1599999999999966
6141cf1931cf3ef3d4a9ed48,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,41.454935070000104,0.4140000000000015
6141cf194e27a1844a5efffc,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,8.518254950000053,1.1450000000000031
6141cf19baaf234b3529018e,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,17.86191925000002,1.0009000000000015
6141cf191d648932fbc34295,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,-2.40927078999996,1.802500000000002
6141cf199cbada84a86767c7,low_MoS2,0.0,3.0,3.0,MoS2_0.01562,-0.8331777099999158,1.8094999999999999
6141cf19ee0a3fd43fb479e5,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.146026979999974,0.40030000000000143
6141cf194e27a1844a5efffe,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,8.516144910000119,1.1452000000000027
6141cf19a05be5973bd77a71,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,6.935409289999996,1.1456000000000017
6141cf19cc0e69a0cf28ab49,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,12.475560600000009,1.1484999999999985
6141cf1969b0784ffcf8f85f,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.56864637000003,0.40270000000000294
6141cf1abaaf234b35290190,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,17.86545664000004,1.0827000000000027
6141cf1a9cbada84a86767c9,low_MoS2,0.0,3.0,3.0,MoS2_0.01562,-0.8224733799999626,1.8072000000000017
6141cf1a31cf3ef3d4a9ed4a,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,41.478769329999935,0.41269999999999385
6141cf1a4e27a1844a5f0000,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,8.504802469999984,1.1488999999999976
6141cf1a1d648932fbc34297,low_MoS2,0.0,2.0,2.0,MoS2_0.01042,-2.4098551800000454,1.802900000000001
6141cf1aee0a3fd43fb479e7,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,32.14656617000013,0.3995999999999995
6141cf1a4e27a1844a5f0002,low_MoS2,1.0,2.0,3.0,MoS2_0.01562,8.516908849999961,1.1428000000000011
6141cf1a9cbada84a86767cb,low_MoS2,0.0,3.0,3.0,MoS2_0.01562,-0.8328957799998875,1.809199999999997
6141cf1abaaf234b35290192,low_MoS2,2.0,1.0,3.0,MoS2_0.01562,17.8257941700001,1.1063000000000045
6141cf1b69b0784ffcf8f861,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,30.564707299999917,0.4059999999999988
6141cf1ba05be5973bd77a73,low_MoS2,1.0,1.0,2.0,MoS2_0.01042,6.935557760000109,1.1452999999999989
