,_id,dataset_material,band_gap_value,to_strata
0,P_P141N1_dd6a5668-efc9-4f4c-aee8-ac3472eaf09f,high_P,0.9622500000000009,P_0.02083
1,P_P141N1_2a285334-f6b0-498c-bb4a-788bfd4af4a6,high_P,0.8405500000000004,P_0.02083
2,P_P141_83ddad39-bb28-4896-93f3-a97b8664304f,high_P,0.5803499999999993,P_0.02083
3,P_P141N1_64f2c31f-7207-4897-9877-60187bcb87d4,high_P,0.8497500000000002,P_0.02083
4,P_P141N1_af730d2e-7790-46db-8751-75e46bf49b68,high_P,0.598749999999999,P_0.02083
5,P_P141N1_2ba80edc-221d-4ee2-8fcd-e1841b61edd9,high_P,0.781600000000001,P_0.02083
6,P_P141_d0a3022b-819b-40a6-a751-95a842e0b766,high_P,0.8168999999999986,P_0.02083
7,P_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308,high_P,0.9693000000000005,P_0.02083
8,P_P141N3_fc942ccc-3244-4a56-ad44-d8387123e395,high_P,0.9741999999999997,P_0.02083
9,P_P141N2_24cbcb02-7eee-4a28-a1ef-54efe7f6deec,high_P,0.8742999999999981,P_0.02083
10,P_P141N1_a2518086-01e9-4fcf-aed5-1a87ef7bf64c,high_P,0.8933999999999997,P_0.02083
11,P_P141N3_a1bea3f0-e862-4a09-9a87-9fc5ce376097,high_P,0.5686,P_0.02083
12,P_P141N1_2234ee2a-46f8-4f6b-9f5c-8bedf7031556,high_P,0.5164000000000009,P_0.02083
13,P_P141N3_d8496443-e7b8-4f5d-8e57-88eb1fbe38ff,high_P,0.9682999999999993,P_0.02083
14,P_P141N1_76942033-f334-4500-8066-bd98863415b8,high_P,0.8346000000000018,P_0.02083
15,P_P141N1_3403a2e7-4573-4feb-8789-743249e131e6,high_P,0.8227499999999992,P_0.02083
16,P_P141_3316d674-3142-4744-aacb-4bbd4ff46387,high_P,0.89405,P_0.02083
17,P_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d,high_P,0.8017000000000003,P_0.02083
18,P_P141N1_25d8f6eb-aebf-4169-b4c4-c0bdd88c8e08,high_P,0.8994500000000016,P_0.02083
19,P_P141N1_25980aaa-7c92-4283-b0ee-c686066ea476,high_P,0.49520000000000053,P_0.02083
20,P_P141_aa34213d-bce4-49ff-a97c-73d3daec8ffc,high_P,0.6008999999999993,P_0.02083
21,P_P141N2_25422909-d4d5-41c2-be6f-33292b1cfc51,high_P,0.9863,P_0.02083
22,P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b,high_P,0.6698999999999984,P_0.02083
23,P_P141N2_04a33e23-f383-47b2-b718-95ea4993e1f6,high_P,0.8469499999999996,P_0.02083
24,P_P141N2_d8ba1f38-49bb-4586-bf30-fa7ece740f3b,high_P,0.8619000000000021,P_0.02083
25,P_P141N1_0f9605a1-adb2-4cab-a10d-a3da9f6a6ef4,high_P,0.8744000000000014,P_0.02083
26,P_P141N1_25e974fc-6710-4e7b-9e9b-a454cfbc0662,high_P,0.6077000000000012,P_0.02083
27,P_P141_83d49210-0207-4b38-a572-a8a582451342,high_P,0.4806500000000007,P_0.02083
28,P_P141N1_83df32c2-423d-4073-872b-6937e8570b22,high_P,0.6407999999999987,P_0.02083
29,P_P141N1_c26dc204-fc9b-4cf9-bcf3-43030fc26fdb,high_P,0.7566999999999986,P_0.02083
30,P_P141N1_3d43e175-248f-4b7f-b29f-8ef2d334a78b,high_P,0.9882000000000026,P_0.02083
31,P_P141N1_2a5c238a-f320-4c80-a986-95192dc44d0e,high_P,1.0396999999999998,P_0.02083
