_id,description,base,cell,defects
4148f59e-b1a4-4735-90ec-2c40f6a9a615,B62C2N63,BN,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'N'}, {'type': 'substitution', 'from': 'B', 'to': 'C'}, {'type': 'substitution', 'from': 'B', 'to': 'C'}]"
fa05e752-be0a-45a0-b053-6a79c0eca07a,B62C1N63,BN,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'N'}, {'type': 'substitution', 'from': 'B', 'to': 'C'}, {'type': 'vacancy', 'element': 'B'}]"
3a1c3336-7cf3-425f-910a-5295349759e7,B63C2N62,BN,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'N'}, {'type': 'substitution', 'from': 'N', 'to': 'C'}, {'type': 'substitution', 'from': 'B', 'to': 'C'}]"
22f75796-50af-4872-93ca-38f403cf74ce,B63C1N62,BN,"[8, 8, 1]","[{'type': 'substitution', 'from': 'N', 'to': 'C'}, {'type': 'vacancy', 'element': 'B'}, {'type': 'vacancy', 'element': 'N'}]"
17d30cdf-cd0b-49ed-8659-5a556bdfcf7c,B61C1N64,BN,"[8, 8, 1]","[{'type': 'substitution', 'from': 'B', 'to': 'C'}, {'type': 'vacancy', 'element': 'B'}, {'type': 'vacancy', 'element': 'B'}]"
f77065f1-2564-44df-9ec0-9e9dbad468b2,B63N62,BN,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'B'}, {'type': 'vacancy', 'element': 'N'}, {'type': 'vacancy', 'element': 'N'}]"
ded33c70-7218-4312-9b67-3a8bdf839a56,B61C2N64,BN,"[8, 8, 1]","[{'type': 'substitution', 'from': 'B', 'to': 'C'}, {'type': 'vacancy', 'element': 'B'}, {'type': 'substitution', 'from': 'B', 'to': 'C'}]"
5cddc881-e9ff-45d0-a257-af758da2c803,B61N64,BN,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'B'}, {'type': 'vacancy', 'element': 'B'}, {'type': 'vacancy', 'element': 'B'}]"
9ccb3cbf-c149-464e-ba62-3d60d4623462,B62C3N63,BN,"[8, 8, 1]","[{'type': 'substitution', 'from': 'N', 'to': 'C'}, {'type': 'substitution', 'from': 'B', 'to': 'C'}, {'type': 'substitution', 'from': 'B', 'to': 'C'}]"
c9a766a2-530a-4311-a995-d8aea7b1aeb6,B62N63,BN,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'B'}, {'type': 'vacancy', 'element': 'N'}, {'type': 'vacancy', 'element': 'B'}]"
