_id,descriptor_id,energy,fermi_level,total_mag,homo_lumo_gap_majority,lumo_majority,homo_majority,E_1_majority,homo_lumo_gap_minority,lumo_minority,homo_minority,E_1_minority
GaSe_In1Ga71Se70S1_1e596925-b8eb-4f25-bf99-c17ced2367b5,98c089d3-116f-498d-a4b0-8e2753659fa9,-548.21646928,-2.06796737,0.0003103,1.2924,-1.2903,-2.5827,-17.3337,1.2924,-1.2903,-2.5827,-17.3337
GaSe_Ga71Se70_4b6fd04f-ae51-4538-9eed-320e45367da3,975317d4-991f-47f8-8a15-b554f6636ca2,-536.01771297,-2.43897346,0.4932973,1.0946,-1.4105,-2.5051,-18.0457,1.0448,-1.3636,-2.4084,-18.0451
GaSe_Ga71Se70S1_087e33fc-ba29-429d-bcd2-cd37a30f341d,7fd95d30-2e31-4120-8d04-d3017a0ecad8,-542.85903245,-2.41165862,0.6795599,1.1632,-1.3349,-2.4981,-18.0665,1.1073000000000002,-1.248,-2.3553,-18.0656
GaSe_In1Ga70Se71S1_bde28bf1-e040-496b-80b9-18511b63d7d6,35b0dad1-d5ab-4950-8a82-cb3a08837aec,-548.20755748,-2.64865819,0.8637406,1.6501,-1.1306,-2.7807,-18.0677,1.5194,-1.1294,-2.6488,-18.0681
GaSe_Ga71Se70S1_eed53980-4b0b-419e-a87c-a495e64df4f1,7fd95d30-2e31-4120-8d04-d3017a0ecad8,-542.72793431,-2.5484861,0.4319175,1.3178,-1.2767,-2.5945,-18.095,1.3088,-1.2751,-2.5839,-18.0952
GaSe_In1Ga71Se70_1a7d1202-962a-4938-b22b-627581c1f450,4ca8f580-4832-4ddd-a82a-d3ac95ec1c52,-541.35868572,-2.0447332,0.0005552,1.2541,-1.3,-2.5541,-17.3205,1.2541,-1.3,-2.5541,-17.3205
GaSe_In1Ga70Se71S1_191a717f-e6e5-410f-8b58-bd6a610881fc,35b0dad1-d5ab-4950-8a82-cb3a08837aec,-548.20127236,-2.64069978,0.8796392,1.636,-1.1453,-2.7813,-18.0832,1.501,-1.1442,-2.6452,-18.0836
GaSe_In1Ga70Se71S1_de69b77c-6872-4811-a64e-9150686c7e2a,35b0dad1-d5ab-4950-8a82-cb3a08837aec,-548.20477347,-2.64118139,0.9026663,1.6469,-1.1311,-2.778,-18.114,1.4862,-1.1297,-2.6159,-18.1143
GaSe_Ga71Se70S1_a781386f-d22b-4efe-9a6a-73591d9ca2df,7fd95d30-2e31-4120-8d04-d3017a0ecad8,-542.70216016,-2.53002081,0.4240633,1.2636,-1.3111,-2.5747,-18.1036,1.2542,-1.3093,-2.5635,-18.1038
GaSe_Ga71Se70S1_f71fb5c7-915c-437c-bd04-b46180e04740,7fd95d30-2e31-4120-8d04-d3017a0ecad8,-542.84851517,-2.40876718,0.6789101,1.165,-1.3333,-2.4983,-18.0609,1.1074,-1.247,-2.3544,-18.06
