_id,description,base,cell,defects
98c089d3-116f-498d-a4b0-8e2753659fa9,In1Ga71Se70S1,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}]"
975317d4-991f-47f8-8a15-b554f6636ca2,Ga71Se70,GaSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Ga'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
7fd95d30-2e31-4120-8d04-d3017a0ecad8,Ga71Se70S1,GaSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Ga'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
35b0dad1-d5ab-4950-8a82-cb3a08837aec,In1Ga70Se71S1,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Ga'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}]"
4ca8f580-4832-4ddd-a82a-d3ac95ec1c52,In1Ga71Se70,GaSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}]"
17a0ecfb-3a0e-49aa-a9f7-bd9e6497f44d,Ga72Se69S1,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
8502017c-da62-4820-99ee-2dca4a8eff15,Ga72Se69S2,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
38dd6d27-f12e-49f9-a76e-bfb60cc7b58f,In1Ga71Se70S2,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}]"
006bd3da-66c4-4d37-bd44-69cea34e93a6,Ga70Se71S1,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Ga'}, {'type': 'vacancy', 'element': 'Ga'}]"
fc541f42-0f90-4340-9beb-c1660b4d048d,In2Ga70Se71S1,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
cfa77f74-58a7-48b5-ac80-bee03e36d337,In1Ga69Se72,GaSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Ga'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'vacancy', 'element': 'Ga'}]"
df06cc05-f999-4409-8709-c9dc351aa717,Ga72Se69S3,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
9df63941-8d83-429c-bad3-54244774725d,In1Ga70Se71,GaSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Ga'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'vacancy', 'element': 'Se'}]"
1d7b5171-a80d-412b-a4e1-94fa4b465fcd,In2Ga70Se71,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'vacancy', 'element': 'Se'}]"
b73e3801-630f-4fdc-9057-9dc3a2e1a105,Ga71Se70S2,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Ga'}]"
32f1438b-36b0-45af-bacf-608b8ef0e82d,In2Ga69Se72,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'vacancy', 'element': 'Ga'}]"
03dc1e43-a4b5-4386-9333-d7813e949e05,Ga70Se71,GaSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Ga'}, {'type': 'vacancy', 'element': 'Ga'}, {'type': 'vacancy', 'element': 'Se'}]"
f0493f81-5f93-4c76-9581-13e85043b4d8,In3Ga69Se72,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'substitution', 'from': 'Ga', 'to': 'In'}]"
b001e214-26aa-4cb7-91e5-a04bfa3c0281,In1Ga68Se69S3,GaSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Ga', 'to': 'In'}, {'type': 'vacancy', 'element': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
