_id,descriptor_id,energy,fermi_level,total_mag,homo_lumo_gap_majority,lumo_majority,homo_majority,E_1_majority,homo_lumo_gap_minority,lumo_minority,homo_minority,E_1_minority,formation_energy,formation_energy_per_site,energy_per_atom,normalized_homo_majority,normalized_lumo_majority,normalized_homo_minority,normalized_lumo_minority,homo_lumo_gap_min,homo_lumo_gap_max,homo_min,homo_max,lumo_min,lumo_max,normalized_homo_min,normalized_homo_max,normalized_lumo_min,normalized_lumo_max
InSe_In70Se71_72e0e514-b756-42a9-b3f2-2b1e00c10113,7636e0f2-ebef-43f6-b535-a5aa4526cc10,-506.2990738,-1.50032051,0.0002678,0.6107,-1.1958,-1.8065,-17.041,0.6107,-1.1958,-1.8065,-17.041,7.576726200000053,2.5255754000000175,-3.590773573049645,1.0484999999999989,1.6591999999999985,1.0484999999999989,1.6591999999999985,0.6107,0.6107,-1.8065,-1.8065,-1.1958,-1.1958,1.0484999999999989,1.0484999999999989,1.6591999999999985,1.6591999999999985
InSe_In70Ga2Se71S1_26bbfd31-5bf6-4567-aa7a-1d2c81a3fa93,3bc213d4-2cc7-4901-a5d9-d6193b4542b9,-524.1112012,-1.6324298,0.0020461,1.3138999999999998,-0.8437,-2.1576,-16.4969,1.3138999999999998,-0.8437,-2.1576,-16.4969,-0.048401199999943856,-0.01613373333331462,-3.6396611194444444,0.153299999999998,1.4671999999999983,0.153299999999998,1.4671999999999983,1.3138999999999998,1.3138999999999998,-2.1576,-2.1576,-0.8437,-0.8437,0.153299999999998,0.153299999999998,1.4671999999999983,1.4671999999999983
InSe_In71Ga1Se70S1_62c52d3d-e0c4-48ee-a9ed-6f6a5c2b2fc1,c2119a7c-6d8d-48f8-9250-49d8cd503138,-518.1160265,-1.3852085,0.002178,1.1353999999999995,-0.7748,-1.9102,-16.4856,1.1353999999999995,-0.7748,-1.9102,-16.4856,2.1427735000000894,0.7142578333333631,-3.6231889965034965,0.3894000000000002,1.524799999999999,0.3894000000000002,1.524799999999999,1.1353999999999995,1.1353999999999995,-1.9102,-1.9102,-0.7748,-0.7748,0.3894000000000002,0.3894000000000002,1.524799999999999,1.524799999999999
InSe_In70Ga1Se71_0cf6df90-f056-4dbf-a63a-6660ee1622d9,b578b61e-bcab-4484-b001-b144462d9961,-511.86493553,-1.84245013,0.2025132,1.0517,-0.8206,-1.8723,-16.9629,1.0461,-0.8199,-1.866,-16.963,5.040864469999974,1.680288156666658,-3.604682644577465,0.9046000000000003,1.9563000000000006,0.9109999999999996,1.9570999999999987,1.0461,1.0517,-1.8723,-1.866,-0.8206,-0.8199,0.9046000000000003,0.9109999999999996,1.9563000000000006,1.9570999999999987
InSe_In70Se71S1_cf386f02-a025-440c-b521-e10b6cebe7ed,ec4a3ea8-1f91-4c6e-963a-f87c5cba6e49,-511.99129166,-2.02199093,1.7709152,1.2453,-0.8978,-2.1431,-17.0228,1.1244,-0.8925,-2.0169,-17.023,6.011508339999978,2.003836113333326,-3.6055724764788732,0.693699999999998,1.9389999999999983,0.8200999999999983,1.9444999999999997,1.1244,1.2453,-2.1431,-2.0169,-0.8978,-0.8925,0.693699999999998,0.8200999999999983,1.9389999999999983,1.9444999999999997
InSe_In70Se71S1_b5d9dd4a-2b69-49cc-a5a7-0b271b65a681,ec4a3ea8-1f91-4c6e-963a-f87c5cba6e49,-511.93853355,-2.00071602,1.6305331,1.1974999999999998,-0.9072,-2.1047,-17.0609,1.0501,-0.9012,-1.9513,-17.0607,6.064266449999991,2.021422149999997,-3.6052009404929577,0.7701999999999991,1.967699999999999,0.9233999999999991,1.9734999999999996,1.0501,1.1974999999999998,-2.1047,-1.9513,-0.9072,-0.9012,0.7701999999999991,0.9233999999999991,1.967699999999999,1.9734999999999996
InSe_In69Ga2Se72_bb4d8c38-a0b1-4238-bcc9-a9fac06f57dc,74e46050-1669-477d-a569-261429f01bf9,-517.78070735,-2.00650374,0.8383114,1.2375,-0.8934,-2.1309,-17.0244,1.1218,-0.8908,-2.0126,-17.0247,2.9290926500000296,0.9763642166666765,-3.620844107342657,0.7074999999999978,1.9449999999999985,0.8260999999999985,1.9478999999999989,1.1218,1.2375,-2.1309,-2.0126,-0.8934,-0.8908,0.7074999999999978,0.8260999999999985,1.9449999999999985,1.9478999999999989
InSe_In70Se71S1_0d46e760-30db-4377-8110-3e0193bd9b0e,ec4a3ea8-1f91-4c6e-963a-f87c5cba6e49,-513.56488984,-1.46876713,0.002027,1.0186,-0.9096,-1.9282,-17.166,1.0186,-0.9096,-1.9282,-17.166,4.437910160000001,1.4793033866666672,-3.6166541538028167,1.0517999999999983,2.0703999999999976,1.0517999999999983,2.0703999999999976,1.0186,1.0186,-1.9282,-1.9282,-0.9096,-0.9096,1.0517999999999983,1.0517999999999983,2.0703999999999976,2.0703999999999976
InSe_In71Ga1Se70S2_747a6102-ed2b-4d45-8978-fc37ec160f3f,1b2910e3-b208-4ee4-b678-1b2b604e52a8,-524.39086487,-1.68264895,0.0018969,1.3212000000000002,-0.8291,-2.1503,-16.4846,1.3212000000000002,-0.8291,-2.1503,-16.4846,-0.00506486999995559,-0.0016882899999851968,-3.6416032282638886,0.148299999999999,1.4694999999999983,0.148299999999999,1.4694999999999983,1.3212000000000002,1.3212000000000002,-2.1503,-2.1503,-0.8291,-0.8291,0.148299999999999,0.148299999999999,1.4694999999999983,1.4694999999999983
InSe_In72Se69S3_1900f7c6-e58f-4e7e-884a-9c98ac0618a0,c226deba-fc76-4391-a5f6-7aae679669fb,-524.67219285,-1.64670964,0.0017766,1.3451999999999995,-0.814,-2.1592,-16.367,1.3451999999999995,-0.814,-2.1592,-16.367,0.036607150000008915,0.012202383333336305,-3.643556894791667,0.02179999999999893,1.366999999999999,0.02179999999999893,1.366999999999999,1.3451999999999995,1.3451999999999995,-2.1592,-2.1592,-0.814,-0.814,0.02179999999999893,0.02179999999999893,1.366999999999999,1.366999999999999
InSe_In71Ga1Se70S1_88c8f623-26aa-4d03-a4ab-03fcfc5a47fe,c2119a7c-6d8d-48f8-9250-49d8cd503138,-518.10744204,-1.39821161,0.0021587,1.1296,-0.7757,-1.9053,-16.4903,1.1296,-0.7757,-1.9053,-16.4903,2.151357960000041,0.7171193200000138,-3.6231289653146854,0.39899999999999913,1.528599999999999,0.39899999999999913,1.528599999999999,1.1296,1.1296,-1.9053,-1.9053,-0.7757,-0.7757,0.39899999999999913,0.39899999999999913,1.528599999999999,1.528599999999999
