_id,descriptor_id,energy,fermi_level,total_mag,homo_lumo_gap_majority,lumo_majority,homo_majority,E_1_majority,homo_lumo_gap_minority,lumo_minority,homo_minority,E_1_minority
InSe_In70Se71_72e0e514-b756-42a9-b3f2-2b1e00c10113,7636e0f2-ebef-43f6-b535-a5aa4526cc10,-506.2990738,-1.50032051,0.0002678,0.6107,-1.1958,-1.8065,-17.041,0.6107,-1.1958,-1.8065,-17.041
InSe_In70Ga2Se71S1_26bbfd31-5bf6-4567-aa7a-1d2c81a3fa93,3bc213d4-2cc7-4901-a5d9-d6193b4542b9,-524.1112012,-1.6324298,0.0020461,1.3138999999999998,-0.8437,-2.1576,-16.4969,1.3138999999999998,-0.8437,-2.1576,-16.4969
InSe_In71Ga1Se70S1_62c52d3d-e0c4-48ee-a9ed-6f6a5c2b2fc1,c2119a7c-6d8d-48f8-9250-49d8cd503138,-518.1160265,-1.3852085,0.002178,1.1353999999999997,-0.7748,-1.9102,-16.4856,1.1353999999999997,-0.7748,-1.9102,-16.4856
InSe_In70Ga1Se71_0cf6df90-f056-4dbf-a63a-6660ee1622d9,b578b61e-bcab-4484-b001-b144462d9961,-511.86493553,-1.84245013,0.2025132,1.0517,-0.8206,-1.8723,-16.9629,1.0461,-0.8199,-1.866,-16.963
InSe_In70Se71S1_cf386f02-a025-440c-b521-e10b6cebe7ed,ec4a3ea8-1f91-4c6e-963a-f87c5cba6e49,-511.99129166,-2.02199093,1.7709152,1.2452999999999999,-0.8978,-2.1431,-17.0228,1.1244,-0.8925,-2.0169,-17.023
InSe_In70Se71S1_b5d9dd4a-2b69-49cc-a5a7-0b271b65a681,ec4a3ea8-1f91-4c6e-963a-f87c5cba6e49,-511.93853355,-2.00071602,1.6305331,1.1974999999999998,-0.9072,-2.1047,-17.0609,1.0501,-0.9012,-1.9513,-17.0607
InSe_In69Ga2Se72_bb4d8c38-a0b1-4238-bcc9-a9fac06f57dc,74e46050-1669-477d-a569-261429f01bf9,-517.78070735,-2.00650374,0.8383114,1.2375,-0.8934,-2.1309,-17.0244,1.1218,-0.8908,-2.0126,-17.0247
InSe_In70Se71S1_0d46e760-30db-4377-8110-3e0193bd9b0e,ec4a3ea8-1f91-4c6e-963a-f87c5cba6e49,-513.56488984,-1.46876713,0.002027,1.0186,-0.9096,-1.9282,-17.166,1.0186,-0.9096,-1.9282,-17.166
InSe_In71Ga1Se70S2_747a6102-ed2b-4d45-8978-fc37ec160f3f,1b2910e3-b208-4ee4-b678-1b2b604e52a8,-524.39086487,-1.68264895,0.0018969,1.3212000000000002,-0.8291,-2.1503,-16.4846,1.3212000000000002,-0.8291,-2.1503,-16.4846
InSe_In72Se69S3_1900f7c6-e58f-4e7e-884a-9c98ac0618a0,c226deba-fc76-4391-a5f6-7aae679669fb,-524.67219285,-1.64670964,0.0017766,1.3451999999999997,-0.814,-2.1592,-16.367,1.3451999999999997,-0.814,-2.1592,-16.367
InSe_In71Ga1Se70S1_88c8f623-26aa-4d03-a4ab-03fcfc5a47fe,c2119a7c-6d8d-48f8-9250-49d8cd503138,-518.10744204,-1.39821161,0.0021587,1.1296,-0.7757,-1.9053,-16.4903,1.1296,-0.7757,-1.9053,-16.4903
InSe_In71Se70S1_1628e2c4-11b4-4217-ab53-4e5a9ae52583,8f03316d-b615-4c0d-acc2-160272166bea,-512.23577435,-1.75779528,0.4902075,0.9968,-0.8211,-1.8179,-16.9701,0.9187,-0.8056,-1.7243,-16.9697
InSe_In71Se70S1_a051878c-b733-48ec-95a5-58c9ee033596,8f03316d-b615-4c0d-acc2-160272166bea,-512.09861552,-1.84258325,0.3635497,1.0865,-0.7991,-1.8856,-16.9552,1.0766,-0.7976,-1.8742,-16.9554
InSe_In71Se70S2_c7f358bc-b06a-43f0-8ffe-26966f326284,d1ed4f9c-63fa-414d-a069-fbe68d94db5d,-518.3322788,-1.9868566,0.8706893,1.2634999999999998,-0.8604,-2.1239,-16.9953,1.1359,-0.8576,-1.9935,-16.9956
InSe_In72Se69S1_28699bf4-373f-4394-8cd9-bfd652afb81f,b26c1884-633c-4582-9180-9a6792a91047,-512.10773628,-1.34534939,0.0020587,1.0638999999999998,-0.7728,-1.8367,-16.3859,1.0638999999999998,-0.7728,-1.8367,-16.3859
InSe_In71Ga1Se70S2_b0f9bf4e-ed54-48d6-8ec7-5ca2ad4397d1,1b2910e3-b208-4ee4-b678-1b2b604e52a8,-524.38874539,-1.64587161,0.0018375,1.3205000000000002,-0.8288,-2.1493,-16.4828,1.3205000000000002,-0.8288,-2.1493,-16.4828
InSe_In70Se71S1_af151ef4-0caa-40b7-9c1c-8aeb29fcd097,ec4a3ea8-1f91-4c6e-963a-f87c5cba6e49,-511.99797109,-2.02214681,1.7575077,1.2452999999999999,-0.8977,-2.143,-17.0321,1.1252,-0.8924,-2.0176,-17.0323
InSe_In70Ga1Se71S1_ac44c54c-8f8b-4a72-9ed2-9f4c660c9a6b,2c5c8b01-9d24-4d5e-bc73-1d3fb52efd28,-518.04714357,-1.99655641,0.8685886,1.2563,-0.8775,-2.1338,-17.0157,1.1285,-0.8747,-2.0032,-17.016
InSe_In70Ga2Se71S1_9e6046ae-cd64-43a2-bb62-1a28196c37df,3bc213d4-2cc7-4901-a5d9-d6193b4542b9,-524.10775719,-1.69023718,0.0020344,1.3096999999999999,-0.8434,-2.1531,-16.4973,1.3097999999999996,-0.8433,-2.1531,-16.4973
InSe_In72Se69S1_080cb2f0-9602-45f8-a0a6-2b74de94c0df,b26c1884-633c-4582-9180-9a6792a91047,-512.02295271,-1.39182981,0.0019242,0.9061,-0.9387,-1.8448,-16.382,0.9061,-0.9387,-1.8448,-16.382
InSe_In71Ga1Se70S1_a5453d12-f5fe-433f-a0fb-524001b2fac5,c2119a7c-6d8d-48f8-9250-49d8cd503138,-518.0951974,-1.39687988,0.0021745,1.1191,-0.7761,-1.8952,-16.4987,1.1192,-0.776,-1.8952,-16.4987
InSe_In70Se71_6c73762a-4720-4e78-8e99-e7a8aaed3495,7636e0f2-ebef-43f6-b535-a5aa4526cc10,-507.85714279,-1.35620141,0.0017103,0.8542000000000001,-0.9294,-1.7836,-16.9689,0.8543000000000001,-0.9293,-1.7836,-16.9689
InSe_In71Se70S2_74c9831c-91ac-4908-aabd-0404786527fd,d1ed4f9c-63fa-414d-a069-fbe68d94db5d,-518.32502301,-1.99090801,0.8901271,1.2704,-0.8611,-2.1315,-16.9951,1.1345999999999998,-0.8583,-1.9929,-16.9953
InSe_In71Se70_77a2fd80-5f47-4f01-85fc-aeff28e98565,98808007-6ee3-4be7-a655-c31ee7325a6d,-506.0395251,-1.66898104,0.0250936,0.6968000000000001,-0.9798,-1.6766,-16.9139,0.6942,-0.9786,-1.6728,-16.9139
InSe_In70Ga2Se71_958e6d3f-5f38-476a-8e80-bf1f27d9f3b5,d4286765-9846-4e7e-904e-50c8654ab1b2,-517.8316811,-1.40582601,0.0021241,1.1309,-0.7904,-1.9213,-16.5119,1.1309,-0.7904,-1.9213,-16.5119
InSe_In71Ga1Se70S1_7e264ab9-3eb3-4de1-b9fb-16d1ddab0bf5,c2119a7c-6d8d-48f8-9250-49d8cd503138,-518.14625431,-1.37747755,0.0024168,1.1233,-0.7782,-1.9015,-16.4687,1.1233,-0.7782,-1.9015,-16.4687
InSe_In70Se71_70afb01c-b418-4e5d-ad50-1111f700896b,7636e0f2-ebef-43f6-b535-a5aa4526cc10,-507.50988221,-1.49959682,0.0001466,0.9037,-1.0486,-1.9523,-17.0897,0.9037,-1.0486,-1.9523,-17.0897
InSe_In72Se69S2_fcb2d6c2-dee5-4a34-a3d1-e9f4ff9fa523,4959e7d6-de5d-465d-8ac5-e611e6f31869,-518.38214097,-1.41946612,0.0022139,1.1300999999999999,-0.7597,-1.8898,-16.3743,1.1300999999999999,-0.7597,-1.8898,-16.3743
InSe_In72Se69S1_dad7d20f-19ab-422d-b7c3-660ad36831b3,b26c1884-633c-4582-9180-9a6792a91047,-512.13288394,-1.54923515,0.0023103,0.6518000000000002,-1.2244,-1.8762,-16.4088,0.6518000000000002,-1.2244,-1.8762,-16.4088
InSe_In71Ga1Se70S2_733541e7-2687-4f7a-ba7a-ae4d42ad7e8e,1b2910e3-b208-4ee4-b678-1b2b604e52a8,-524.39426194,-1.64973153,0.0017744,1.3196999999999999,-0.829,-2.1487,-16.4811,1.3197999999999999,-0.8289,-2.1487,-16.4811
