_id,description,base,cell,defects
7636e0f2-ebef-43f6-b535-a5aa4526cc10,In70Se71,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'In'}]"
3bc213d4-2cc7-4901-a5d9-d6193b4542b9,In70Ga2Se71S1,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
c2119a7c-6d8d-48f8-9250-49d8cd503138,In71Ga1Se70S1,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}]"
b578b61e-bcab-4484-b001-b144462d9961,In70Ga1Se71,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'vacancy', 'element': 'In'}]"
ec4a3ea8-1f91-4c6e-963a-f87c5cba6e49,In70Se71S1,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
74e46050-1669-477d-a569-261429f01bf9,In69Ga2Se72,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'In'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}]"
1b2910e3-b208-4ee4-b678-1b2b604e52a8,In71Ga1Se70S2,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
c226deba-fc76-4391-a5f6-7aae679669fb,In72Se69S3,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
8f03316d-b615-4c0d-acc2-160272166bea,In71Se70S1,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'In'}]"
d1ed4f9c-63fa-414d-a069-fbe68d94db5d,In71Se70S2,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'In'}]"
b26c1884-633c-4582-9180-9a6792a91047,In72Se69S1,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
2c5c8b01-9d24-4d5e-bc73-1d3fb52efd28,In70Ga1Se71S1,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
98808007-6ee3-4be7-a655-c31ee7325a6d,In71Se70,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
d4286765-9846-4e7e-904e-50c8654ab1b2,In70Ga2Se71,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}]"
4959e7d6-de5d-465d-8ac5-e611e6f31869,In72Se69S2,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
1bfd5d4a-e876-4eba-a7e8-83bf3ec8807c,In69Ga3Se72,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}]"
4aea4ae1-ad22-4c9d-8f25-819c5213bf54,In69Ga1Se72,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'In'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'vacancy', 'element': 'In'}]"
7e523e78-1c1a-41f0-a7ef-48baeb3d3178,In72Se69,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
fb6af101-1525-4e6b-b40c-da1d5e742b2e,In69Se72,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'In'}]"
8fe6c111-cadf-4fd8-bebb-63e3381567c8,In71Ga1Se70,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
a59dcfe5-8239-4076-9752-3d52e5ebf45e,In71Se66S3,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}]"
9f18a998-dc99-49da-8495-89efdd80a0d0,In68Ga4Se69S1,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
04f866cc-84c9-4a9a-862b-79c43b9f2aeb,In69Ga2Se68S4,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
e6c464b7-512a-4be1-a260-994a157ec109,In68Se69S1,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'In'}]"
ad7b2519-21b8-47fc-9762-257eaee16b19,In68Ga2Se69S1,InSe,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}]"
c984e092-18fc-424d-a745-7a187edd7546,In69Ga2Se68S1,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'Se'}]"
77303836-e3ab-4e5c-be54-7a5b68b41de3,In70Ga1Se67S2,InSe,"[6, 6, 1]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'In'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'In', 'to': 'Ga'}, {'type': 'vacancy', 'element': 'Se'}]"
