_id,description,base,cell,defects
c2e35d6d-0314-4d37-9385-16a73a4b5b57,Mo63Se2S125,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
f537f6af-ab01-4c23-8cdb-ba719fb19571,Mo63W1Se2S125,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}]"
4821cae7-32c3-4f2e-a821-942d6aef19e6,Mo63W1Se1S125,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
c84dad71-7a64-4254-935a-fa1845707bca,Mo63W1S125,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
e50b9850-933b-4b6f-90f3-7b784275077d,Mo63Se1S125,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
54eceb28-ae9b-484b-a9a6-5e6f9c5c7013,Mo62W2Se2S126,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
c1420f74-6f37-477b-b2ae-5ad9a34ffdd6,Mo62W2S126,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}]"
10171505-527e-4cf6-a4a9-5463ad955976,Mo63Se3S125,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
aeeee2e0-7f5c-43cf-8231-a86bf41bf6c5,Mo63W1Se3S125,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
2b7c829e-44a6-420e-9832-970f43b90872,Mo62W1S126,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'Mo'}]"
58f94a7e-f2b9-48b4-87da-07eb93cc4d0b,Mo64Se2S124,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
5ed98f49-177d-4f1c-a639-217444f6fa56,Mo64Se1S124,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}]"
a4b424ea-c0b5-4b1c-a1e4-5fa7f7b0b70d,Mo62W2Se1S126,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
a35d9d42-63d5-4b0e-8d4f-c320456792e6,Mo61W1Se1S127,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'Mo'}]"
0345d846-afd7-4d63-9476-24362086bcbd,Mo61W1S127,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}]"
2dfd36f8-8083-48a9-8d8c-a36e19d6e41d,Mo62W1Se1S126,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
b1cac3a5-3438-4667-a673-79b0a9c45d90,Mo62S126,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}]"
82814571-e0f4-4d70-b97c-4dea187f0b82,Mo62Se1S126,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}]"
b1b48132-8ea1-401a-b19e-6eee9bdacf0c,Mo62W1Se2S126,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
75f9baee-e3c9-475d-a43f-e0aa5022cc27,Mo63S125,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}]"
89610b6e-bc60-46cd-81f3-57f4c03fc28f,Mo64Se3S124,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
18dba4cc-d804-483c-9139-2f0eb98ab8a2,Mo64S124,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}]"
da1327d7-3992-4e9d-82bc-4d636e49008a,Mo61W3Se1S127,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
7bedaebc-6edd-4bb7-9c17-7ba94777d36c,Mo61W3S127,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
9019e8f8-e6f0-44b4-8adc-909ccc85dd50,Mo62Se2S126,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
9347cc61-6f80-481b-8a29-55221c51178d,Mo61W2S127,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
f2d30e79-ed99-4d3e-afa0-2cd3e62c2dbc,Mo63W1Se3S120,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}]"
e30a6242-fb80-47d6-b7ab-44d1ec292696,Mo63W1Se2S120,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}]"
15ca6107-94da-454f-8ee1-75184b0694a4,Mo61W3Se2S122,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
f41bb76e-444c-4665-85d3-35cff96a29f2,Mo61W2Se3S122,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
97c192bb-f819-4c2c-835e-a73414957d05,Mo62W2Se3S121,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}]"
51617423-cec3-4d04-9a4e-33b0bb346b0a,Mo61W2Se4S122,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
cff49db6-0d14-437a-8572-5f9be378cddb,Mo63Se3S120,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}]"
f6814d54-c063-42ca-a5d7-c362d6bb0b44,Mo58W2Se1S125,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
6a23aa16-4f61-4b35-bf27-738ab4794253,Mo59W3Se2S124,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}]"
4c269782-16aa-4c28-a78c-91a24a596d02,Mo60W1Se2S123,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'Mo'}]"
10ce139e-c6c3-44b5-be3e-409273b02e3d,Mo62W1Se4S121,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
ec9951fa-473f-4263-b813-f239004aae96,Mo62W2Se5S121,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}]"
837f59dd-f212-407f-bbae-f8d907654afc,Mo61W1Se4S122,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
f664ba49-ad68-4bbd-8f9e-629197b21b61,Mo61W3Se3S122,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
d40f1961-47de-4efd-be40-ed9fe2f3341f,Mo59W2Se2S124,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
94500918-0a36-4483-91ea-1f1ff50cc05c,Mo62Se4S121,MoS2,"[8, 8, 1]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'S'}]"
a4ebdb73-7d13-4a33-bdae-875113be604e,Mo61Se3S122,MoS2,"[8, 8, 1]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'vacancy', 'element': 'Mo'}]"
