_id,descriptor_id,energy,fermi_level,homo_lumo_gap,lumo,homo,E_1,formation_energy,formation_energy_per_site,energy_per_atom,normalized_homo,normalized_lumo,homo_lumo_gap_majority,homo_majority,lumo_majority,normalized_homo_majority,normalized_lumo_majority,E_1_majority,homo_lumo_gap_minority,homo_minority,lumo_minority,normalized_homo_minority,normalized_lumo_minority,E_1_minority,homo_lumo_gap_max,homo_max,lumo_max,normalized_homo_max,normalized_lumo_max,E_1_max,homo_lumo_gap_min,homo_min,lumo_min,normalized_homo_min,normalized_lumo_min,E_1_min,total_mag
MoS2_Mo63Se2S125_1de54178-46e9-4e0c-a922-6e4c90c53961,c2e35d6d-0314-4d37-9385-16a73a4b5b57,-1371.42147833,-1.65851821,0.3771,-1.0636,-1.4407,-63.1033,10.355421670000169,2.588855417500042,-7.21800778068421,0.7845999999999975,1.1616999999999962,0.3771,-1.4407,-1.0636,0.7845999999999975,1.1616999999999962,-63.1033,0.3771,-1.4407,-1.0636,0.7845999999999975,1.1616999999999962,-63.1033,0.3771,-1.4407,-1.0636,0.7845999999999975,1.1616999999999962,-63.1033,0.3771,-1.4407,-1.0636,0.7845999999999975,1.1616999999999962,-63.1033,0.0
MoS2_Mo63W1Se2S125_b8bd7ef6-1d0f-43b9-a34c-afb5b5d6fa16,f537f6af-ab01-4c23-8cdb-ba719fb19571,-1391.33516498,-1.42046446,1.1336,-0.8537,-1.9873,-62.9331,3.4523350200001914,0.8630837550000479,-7.284477303560209,0.06780000000000541,1.2013999999999996,1.1336,-1.9873,-0.8537,0.06780000000000541,1.2013999999999996,-62.9331,1.1336,-1.9873,-0.8537,0.06780000000000541,1.2013999999999996,-62.9331,1.1336,-1.9873,-0.8537,0.06780000000000541,1.2013999999999996,-62.9331,1.1336,-1.9873,-0.8537,0.06780000000000541,1.2013999999999996,-62.9331,0.0
MoS2_Mo63W1Se1S125_42a338e1-df26-431d-9f5a-7c98a63dd296,4821cae7-32c3-4f2e-a821-942d6aef19e6,-1385.45374568,-1.53074029,1.0928,-0.9063,-1.9991,-62.9609,5.844754319999993,1.4611885799999982,-7.291861819368422,0.08380000000000365,1.1766000000000005,1.0928,-1.9991,-0.9063,0.08380000000000365,1.1766000000000005,-62.9609,1.0928,-1.9991,-0.9063,0.08380000000000365,1.1766000000000005,-62.9609,1.0928,-1.9991,-0.9063,0.08380000000000365,1.1766000000000005,-62.9609,1.0928,-1.9991,-0.9063,0.08380000000000365,1.1766000000000005,-62.9609,0.0
MoS2_Mo63W1Se2S125_a947f260-838e-4154-b08c-4772cad40eb5,f537f6af-ab01-4c23-8cdb-ba719fb19571,-1391.35844308,-1.32838815,1.144,-0.857,-2.001,-62.9335,3.429056920000221,0.8572642300000552,-7.284599178429319,0.054500000000004434,1.1985000000000028,1.144,-2.001,-0.857,0.054500000000004434,1.1985000000000028,-62.9335,1.144,-2.001,-0.857,0.054500000000004434,1.1985000000000028,-62.9335,1.144,-2.001,-0.857,0.054500000000004434,1.1985000000000028,-62.9335,1.144,-2.001,-0.857,0.054500000000004434,1.1985000000000028,-62.9335,0.0
MoS2_Mo63Se2S125_ae2c4329-dd70-4174-bc11-a26ba42e27db,c2e35d6d-0314-4d37-9385-16a73a4b5b57,-1371.90526722,-1.67902325,0.1617999999999999,-1.3186,-1.4804,-63.1352,9.871632780000027,2.467908195000007,-7.220554038,0.7767999999999944,0.9385999999999939,0.1617999999999999,-1.4804,-1.3186,0.7767999999999944,0.9385999999999939,-63.1352,0.1617999999999999,-1.4804,-1.3186,0.7767999999999944,0.9385999999999939,-63.1352,0.1617999999999999,-1.4804,-1.3186,0.7767999999999944,0.9385999999999939,-63.1352,0.1617999999999999,-1.4804,-1.3186,0.7767999999999944,0.9385999999999939,-63.1352,0.0
MoS2_Mo63W1S125_f6f221b6-d54c-4cdc-8567-d7d2dbf119bc,c84dad71-7a64-4254-935a-fa1845707bca,-1379.56006726,-1.46042911,1.0922,-0.9116,-2.0038,-62.9846,8.249432739999975,2.0623581849999937,-7.299259615132276,0.102800000000002,1.1950000000000003,1.0922,-2.0038,-0.9116,0.102800000000002,1.1950000000000003,-62.9846,1.0922,-2.0038,-0.9116,0.102800000000002,1.1950000000000003,-62.9846,1.0922,-2.0038,-0.9116,0.102800000000002,1.1950000000000003,-62.9846,1.0922,-2.0038,-0.9116,0.102800000000002,1.1950000000000003,-62.9846,0.0
MoS2_Mo63Se2S125_dd0e1d86-5f3f-43eb-ba81-34ca333b89d7,c2e35d6d-0314-4d37-9385-16a73a4b5b57,-1371.93179278,-1.68414132,0.1792,-1.3085,-1.4877,-63.1271,9.845107220000045,2.4612768050000113,-7.220693646210527,0.7614000000000019,0.9405999999999963,0.1792,-1.4877,-1.3085,0.7614000000000019,0.9405999999999963,-63.1271,0.1792,-1.4877,-1.3085,0.7614000000000019,0.9405999999999963,-63.1271,0.1792,-1.4877,-1.3085,0.7614000000000019,0.9405999999999963,-63.1271,0.1792,-1.4877,-1.3085,0.7614000000000019,0.9405999999999963,-63.1271,0.0
MoS2_Mo63Se1S125_f2c5367c-a725-4dcf-9138-b74a60150150,e50b9850-933b-4b6f-90f3-7b784275077d,-1365.55491123,-1.69137078,0.4093,-1.0842,-1.4935,-63.1452,12.73298877000002,3.183247192500005,-7.22515826047619,0.7737000000000052,1.1829999999999998,0.4093,-1.4935,-1.0842,0.7737000000000052,1.1829999999999998,-63.1452,0.4093,-1.4935,-1.0842,0.7737000000000052,1.1829999999999998,-63.1452,0.4093,-1.4935,-1.0842,0.7737000000000052,1.1829999999999998,-63.1452,0.4093,-1.4935,-1.0842,0.7737000000000052,1.1829999999999998,-63.1452,0.0
MoS2_Mo62W2Se2S126_7052aa98-6961-48a2-95a9-96fb025dd113,54eceb28-ae9b-484b-a9a6-5e6f9c5c7013,-1399.99036148,-1.55218067,1.8066,-0.2277,-2.0343,-62.92,1.00153851999994,0.250384629999985,-7.291616466041667,0.007699999999999818,1.814300000000003,1.8066,-2.0343,-0.2277,0.007699999999999818,1.814300000000003,-62.92,1.8066,-2.0343,-0.2277,0.007699999999999818,1.814300000000003,-62.92,1.8066,-2.0343,-0.2277,0.007699999999999818,1.814300000000003,-62.92,1.8066,-2.0343,-0.2277,0.007699999999999818,1.814300000000003,-62.92,0.0
MoS2_Mo62W2S126_9cbc05a5-a4af-4a4f-bf72-d4e8231b5bb6,c1420f74-6f37-477b-b2ae-5ad9a34ffdd6,-1388.34960656,-1.52627027,0.9395,-1.0588,-1.9983,-62.973,5.664293439999938,1.4160733599999844,-7.307103192421052,0.09669999999999845,1.036200000000001,0.9395,-1.9983,-1.0588,0.09669999999999845,1.036200000000001,-62.973,0.9395,-1.9983,-1.0588,0.09669999999999845,1.036200000000001,-62.973,0.9395,-1.9983,-1.0588,0.09669999999999845,1.036200000000001,-62.973,0.9395,-1.9983,-1.0588,0.09669999999999845,1.036200000000001,-62.973,0.0
