_id,descriptor_id,energy,fermi_level,total_mag,homo_lumo_gap_majority,lumo_majority,homo_majority,E_1_majority,homo_lumo_gap_minority,lumo_minority,homo_minority,E_1_minority
P_P141N1_dd6a5668-efc9-4f4c-aee8-ac3472eaf09f,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.1626739,-2.34120538,0.3735402,0.9970000000000001,-1.3324,-2.3294,-20.211,0.9275,-1.3305,-2.258,-20.1964
P_P141N1_2a285334-f6b0-498c-bb4a-788bfd4af4a6,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.79166115,-2.26566778,0.2740711,0.8881000000000001,-1.3302,-2.2183,-20.1189,0.7929999999999999,-1.3286,-2.1216,-20.1178
P_P141_83ddad39-bb28-4896-93f3-a97b8664304f,851b0d44-b9af-41e1-b1ec-925daf419aae,-751.69342692,-2.23210687,0.9732717,0.7286999999999999,-1.6675,-2.3962,-17.2629,0.43199999999999994,-1.6566,-2.0886,-17.2612
P_P141N1_64f2c31f-7207-4897-9877-60187bcb87d4,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.4933806,-2.21908058,1.8620923,0.9955,-1.3313,-2.3268,-20.3546,0.7039999999999997,-1.3262,-2.0302,-20.3553
P_P141N1_af730d2e-7790-46db-8751-75e46bf49b68,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.14047235,-2.262924,0.1421282,0.6301999999999999,-1.564,-2.1942,-20.2375,0.5673000000000001,-1.5634,-2.1307,-20.2376
P_P141N1_2ba80edc-221d-4ee2-8fcd-e1841b61edd9,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-761.001758,-1.94590864,6.68e-05,0.7816000000000001,-1.5551,-2.3367,-20.2537,0.7816000000000001,-1.5551,-2.3367,-20.2537
P_P141_d0a3022b-819b-40a6-a751-95a842e0b766,851b0d44-b9af-41e1-b1ec-925daf419aae,-751.04559907,-2.32322958,0.0128997,0.8176999999999999,-1.3481,-2.1658,-17.267,0.8161,-1.3483,-2.1644,-17.2671
P_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308,3765801f-e8c7-4e1e-8705-da03ef64f59c,-778.89993758,-1.80405446,3.05e-05,0.9693,-1.3234,-2.2927,-20.2427,0.9693,-1.3234,-2.2927,-20.2427
P_P141N3_fc942ccc-3244-4a56-ad44-d8387123e395,3765801f-e8c7-4e1e-8705-da03ef64f59c,-778.90569598,-1.81675393,1.88e-05,0.9742000000000002,-1.3215,-2.2957,-20.2501,0.9742000000000002,-1.3215,-2.2957,-20.2501
P_P141N2_24cbcb02-7eee-4a28-a1ef-54efe7f6deec,72c75217-369a-483e-88f6-86c3edaaf8af,-769.78577415,-2.18804235,0.9174253,0.9913999999999998,-1.3231,-2.3145,-20.2804,0.7571999999999999,-1.3208,-2.078,-20.278
P_P141N1_a2518086-01e9-4fcf-aed5-1a87ef7bf64c,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.59951722,-2.22970145,1.8789016,1.0091,-1.3325,-2.3416,-20.2897,0.7777000000000003,-1.3276,-2.1053,-20.2795
P_P141N3_a1bea3f0-e862-4a09-9a87-9fc5ce376097,3765801f-e8c7-4e1e-8705-da03ef64f59c,-778.60462903,-2.03776823,7.33e-05,0.5686,-1.3123,-1.8809,-20.2623,0.5686,-1.3123,-1.8809,-20.2623
P_P141N1_2234ee2a-46f8-4f6b-9f5c-8bedf7031556,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-761.52759566,-2.09655926,0.0001268,0.5164,-1.328,-1.8444,-19.7171,0.5164,-1.328,-1.8444,-19.7171
P_P141N3_d8496443-e7b8-4f5d-8e57-88eb1fbe38ff,3765801f-e8c7-4e1e-8705-da03ef64f59c,-778.89805673,-1.81582639,4.04e-05,0.9682999999999999,-1.3278,-2.2961,-20.2313,0.9682999999999999,-1.3278,-2.2961,-20.2313
P_P141N1_76942033-f334-4500-8066-bd98863415b8,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.54799281,-2.26239249,5.55e-05,0.8346000000000002,-1.3235,-2.1581,-20.3334,0.8346000000000002,-1.3235,-2.1581,-20.3334
P_P141N1_3403a2e7-4573-4feb-8789-743249e131e6,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.46286373,-2.22383796,1.8508015,0.9950000000000001,-1.338,-2.333,-20.2691,0.6504999999999999,-1.3342,-1.9847,-20.2689
P_P141_3316d674-3142-4744-aacb-4bbd4ff46387,851b0d44-b9af-41e1-b1ec-925daf419aae,-752.68862387,-2.22297437,0.8969993,1.001,-1.3396,-2.3406,-17.2567,0.7870999999999999,-1.3364,-2.1235,-17.2533
P_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d,72c75217-369a-483e-88f6-86c3edaaf8af,-769.87553766,-2.12798623,0.9632238,0.9515999999999998,-1.3297,-2.2813,-20.3911,0.6517999999999999,-1.3268,-1.9786,-20.305
P_P141N1_25d8f6eb-aebf-4169-b4c4-c0bdd88c8e08,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.09673067,-2.34189975,0.8442416,1.0063,-1.35,-2.3563,-20.3181,0.7926,-1.3477,-2.1403,-20.318
P_P141N1_25980aaa-7c92-4283-b0ee-c686066ea476,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.71721227,-2.07523483,2.82e-05,0.49519999999999986,-1.3139,-1.8091,-20.3777,0.49519999999999986,-1.3139,-1.8091,-20.3777
P_P141_aa34213d-bce4-49ff-a97c-73d3daec8ffc,851b0d44-b9af-41e1-b1ec-925daf419aae,-752.31528412,-2.24330786,0.9174089,0.7227000000000001,-1.6475,-2.3702,-17.2551,0.4791000000000003,-1.646,-2.1251,-17.2524
P_P141N2_25422909-d4d5-41c2-be6f-33292b1cfc51,72c75217-369a-483e-88f6-86c3edaaf8af,-769.30611752,-2.30456832,4.28e-05,0.9863000000000002,-1.3515,-2.3378,-20.3379,0.9863000000000002,-1.3515,-2.3378,-20.3379
P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-761.41876573,-2.00393073,0.0001038,0.6699000000000002,-1.669,-2.3389,-20.1793,0.6699000000000002,-1.669,-2.3389,-20.1793
P_P141N2_04a33e23-f383-47b2-b718-95ea4993e1f6,72c75217-369a-483e-88f6-86c3edaaf8af,-769.89727825,-2.17398483,0.8805478,0.9573,-1.3314,-2.2887,-20.4472,0.7365999999999999,-1.3292,-2.0658,-20.4373
P_P141N2_d8ba1f38-49bb-4586-bf30-fa7ece740f3b,72c75217-369a-483e-88f6-86c3edaaf8af,-769.74780301,-2.18622255,0.8958325,0.9717,-1.3315,-2.3032,-20.2567,0.7521000000000002,-1.3292,-2.0813,-20.256
P_P141N1_0f9605a1-adb2-4cab-a10d-a3da9f6a6ef4,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.43135712,-2.24490927,1.7722915,0.9999999999999998,-1.3343,-2.3343,-20.1873,0.7487999999999999,-1.3288,-2.0776,-20.1555
P_P141N1_25e974fc-6710-4e7b-9e9b-a454cfbc0662,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-761.4715178,-2.02957465,0.0002261,0.6077000000000001,-1.7257,-2.3334,-20.2466,0.6077000000000001,-1.7257,-2.3334,-20.2466
P_P141_83d49210-0207-4b38-a572-a8a582451342,851b0d44-b9af-41e1-b1ec-925daf419aae,-751.44098964,-2.2826207,0.6931416,0.7416,-1.3171,-2.0587,-17.2546,0.2197,-2.0037,-2.2234,-17.2533
P_P141N1_83df32c2-423d-4073-872b-6937e8570b22,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-761.46882588,-2.01687851,0.0002488,0.6408,-1.6965,-2.3373,-20.2539,0.6408,-1.6965,-2.3373,-20.2539
P_P141N1_c26dc204-fc9b-4cf9-bcf3-43030fc26fdb,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.55555812,-2.22047921,1.11e-05,0.7567000000000002,-1.3446,-2.1013,-20.2467,0.7567000000000002,-1.3446,-2.1013,-20.2467
P_P141N1_3d43e175-248f-4b7f-b29f-8ef2d334a78b,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-761.84045751,-1.83136721,1.1e-05,0.9882000000000002,-1.3465,-2.3347,-20.2378,0.9882000000000002,-1.3465,-2.3347,-20.2378
P_P141N1_2a5c238a-f320-4c80-a986-95192dc44d0e,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-759.83314445,-2.38314414,4.13e-05,1.0397,-1.3423,-2.382,-20.3303,1.0397,-1.3423,-2.382,-20.3303
P_P141N1_01bbc325-f6d9-4b60-aff4-5922339c9f86,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.48904451,-2.23087244,1.7850062,0.9923,-1.3294,-2.3217,-20.2556,0.7929000000000002,-1.3248,-2.1177,-20.2528
P_P141N1_96995dae-53f3-4495-a5e5-328dcb677907,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.17662857,-2.32343803,0.7321218,0.9876000000000003,-1.3374,-2.325,-20.2062,0.8327,-1.3338,-2.1665,-20.2064
P_P141N1_662448b0-f7fc-407d-904b-487019da347d,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.20978539,-2.10176559,3.84e-05,0.28069999999999995,-1.579,-1.8597,-20.253,0.28069999999999995,-1.579,-1.8597,-20.253
P_P141N1_d4622668-2c1a-46f9-b5c5-0d35dbb840a2,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-759.76417052,-2.26932083,0.0003878,0.7955999999999999,-1.3914,-2.187,-20.2622,0.7955000000000001,-1.3914,-2.1869,-20.2622
P_P141N1_611c9cde-fd59-4457-848e-f1a2839856c6,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-759.76530928,-2.27208839,0.0007116,0.8086,-1.3882,-2.1968,-20.3027,0.8084999999999998,-1.3882,-2.1967,-20.3027
P_P141N1_5b070561-0a88-4c46-9f0e-27ae72550efc,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-761.63568256,-1.84731138,3.77e-05,0.9728000000000001,-1.361,-2.3338,-20.1226,0.9728000000000001,-1.361,-2.3338,-20.1226
P_P141N3_9d5b58ce-71cd-4d2d-94e6-30695815819b,3765801f-e8c7-4e1e-8705-da03ef64f59c,-778.89765269,-1.82013598,2.31e-05,0.9621000000000002,-1.3254,-2.2875,-20.5319,0.9621000000000002,-1.3254,-2.2875,-20.5319
P_P141N1_83e22768-a32d-4dfd-b6d4-d36d944578e2,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.15103327,-2.33242045,0.6813758,1.0135999999999998,-1.3359,-2.3495,-20.3319,0.8363999999999998,-1.3342,-2.1706,-20.3319
