_id,description,base,cell,defects
5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,P141N1,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}]"
851b0d44-b9af-41e1-b1ec-925daf419aae,P141,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}]"
3765801f-e8c7-4e1e-8705-da03ef64f59c,P141N3,P,"[6, 6, 1]","[{'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}]"
72c75217-369a-483e-88f6-86c3edaaf8af,P141N2,P,"[6, 6, 1]","[{'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}]"
bfdd9f72-3d2b-435c-b9df-80b283befc68,P137N2,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}]"
69b85fc9-b4d0-4a4a-be9d-6130ab5d33d2,P137N4,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}]"
0f6352a9-4da2-437b-b3c6-465752551f89,P137N3,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}]"
519e764a-bf01-44c7-b2d2-024e30ec120a,P137N5,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}]"
2da1cbb4-6611-49fc-8b1f-a507c177415a,P137N1,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}]"
cd5fc51a-7f5d-4cab-bea0-e07acf47f292,P137N7,P,"[6, 6, 1]","[{'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}]"
58fedbcb-e3cf-43c0-a939-7f0c3066c91e,P137,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}, {'type': 'vacancy', 'element': 'P'}]"
cdb5ce65-7794-4611-ab17-4d7420a1ca09,P137N6,P,"[6, 6, 1]","[{'type': 'vacancy', 'element': 'P'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}, {'type': 'substitution', 'from': 'P', 'to': 'N'}]"
