_id,descriptor_id,energy,fermi_level,homo_lumo_gap,lumo,homo,E_1
WSe2_Mo1W63Se125S2_fc315abc-52a0-4944-bb2e-e331d136f365,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.12291066,-1.43983221,1.2984,-0.7715,-2.0699,-62.8373
WSe2_Mo1W62Se126S1_3faaa513-a7f3-44be-980b-a5aa50c6acf4,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.93909152,-1.62553524,0.13490000000000002,-1.2317,-1.3666,-62.8767
WSe2_W63Se125S2_3480add9-1fc1-4b55-96a9-e7380d46b87d,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1363.22091225,-1.65994258,0.2228000000000001,-1.2386,-1.4614,-16.5841
WSe2_Mo2W60Se128_758a9139-5ed1-476a-b1b9-7edb966f0433,6a6a57c8-3b70-448c-a2da-ffcd2cc6dd08,-1344.96152734,-1.59757876,0.21819999999999995,-1.2435,-1.4617,-62.8946
WSe2_W63Se125S1_af39f713-a099-46a6-9099-45d7d384fa36,2205f4e0-cc33-4116-b043-5df842046d6c,-1355.93677182,-1.68457348,0.2310000000000001,-1.2661,-1.4971,-16.5847
WSe2_W63Se125S2_329cacf6-4b71-45bf-856a-398c3f586bea,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.55754474,-1.60629407,0.18880000000000008,-1.2167,-1.4055,-16.5858
WSe2_Mo1W63Se125S2_ae703ee3-8f05-42a2-9118-c5fb383ab433,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.10329525,-1.43802871,1.3009000000000002,-0.7718,-2.0727,-62.8538
WSe2_W64Se124S1_c61e73ce-d876-4055-bf4d-7abd3c209ac4,5803d5c9-bc95-4481-bf15-f778c5802789,-1367.32413322,-1.59774966,1.2691000000000001,-0.8351,-2.1042,-16.5617
WSe2_Mo1W63Se125S2_e21d07a0-33ca-4898-836d-308bf6bf8c3b,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.12462506,-1.43228128,1.2796999999999998,-0.7922,-2.0719,-62.8054
WSe2_W63Se125_85cd82c1-4901-4874-9cda-72c1d91e6c5a,5e5fa595-9d2e-4ccb-ae60-4f4d95f173e7,-1348.19041178,-1.65153453,0.21419999999999995,-1.2383,-1.4525,-16.5855
WSe2_Mo2W61Se127S1_5949da26-1150-4c49-8cf7-6b21903de11e,636d2e02-9c5e-4763-a158-4a4b8e917fd3,-1364.36923938,-1.60285058,0.14890000000000003,-1.2094,-1.3583,-62.9566
WSe2_W63Se125S2_e6e03ee5-0f5f-49ac-88f9-cd916b4f2dac,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1363.23374928,-1.66384125,0.20330000000000004,-1.2615,-1.4648,-16.584
WSe2_Mo1W62Se126S1_05e5b4e4-ce11-483e-bb18-af7796458cc0,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.88821602,-1.60497114,0.20609999999999995,-1.2102,-1.4163,-62.8621
WSe2_Mo1W62Se126_b32e060b-aa63-4453-8d81-6d62cff9bd40,ee1b4933-af92-4b7c-b50b-2291de319bbf,-1352.65441999,-1.60682061,0.19179999999999997,-1.2223,-1.4141,-62.8604
WSe2_W64Se124S1_d6df7299-470b-4040-ba3c-ca37eeaeb287,5803d5c9-bc95-4481-bf15-f778c5802789,-1367.32127156,-1.60032449,1.2017,-0.897,-2.0987,-16.5641
