_id,descriptor_id,energy,fermi_level,homo_lumo_gap,lumo,homo,E_1,formation_energy,formation_energy_per_site,energy_per_atom,normalized_homo,normalized_lumo,homo_lumo_gap_majority,homo_majority,lumo_majority,normalized_homo_majority,normalized_lumo_majority,homo_lumo_gap_minority,homo_minority,lumo_minority,normalized_homo_minority,normalized_lumo_minority,homo_lumo_gap_max,homo_max,lumo_max,normalized_homo_max,normalized_lumo_max,homo_lumo_gap_min,homo_min,lumo_min,normalized_homo_min,normalized_lumo_min,total_mag
WSe2_Mo1W63Se125S2_fc315abc-52a0-4944-bb2e-e331d136f365,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.12291066,-1.43983221,1.2984,-0.7715,-2.0699,-62.8373,1.4951893400000245,0.3737973350000061,-7.220538799267015,46.2864,47.584799999999994,1.2984,-2.0699,-0.7715,46.2864,47.584799999999994,1.2984,-2.0699,-0.7715,46.2864,47.584799999999994,1.2984,-2.0699,-0.7715,46.2864,47.584799999999994,1.2984,-2.0699,-0.7715,46.2864,47.584799999999994,0.0
WSe2_Mo1W62Se126S1_3faaa513-a7f3-44be-980b-a5aa50c6acf4,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.93909152,-1.62553524,0.1349,-1.2317,-1.3666,-62.8767,7.0304084800000055,1.7576021200000014,-7.1575741658947365,47.0291,47.163999999999994,0.1349,-1.3666,-1.2317,47.0291,47.163999999999994,0.1349,-1.3666,-1.2317,47.0291,47.163999999999994,0.1349,-1.3666,-1.2317,47.0291,47.163999999999994,0.1349,-1.3666,-1.2317,47.0291,47.163999999999994,0.0
WSe2_W63Se125S2_3480add9-1fc1-4b55-96a9-e7380d46b87d,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1363.22091225,-1.65994258,0.2228000000000001,-1.2386,-1.4614,-16.5841,6.4639877499998875,1.6159969374999719,-7.1748469065789475,0.6417000000000002,0.8644999999999996,0.2228000000000001,-1.4614,-1.2386,0.6417000000000002,0.8644999999999996,0.2228000000000001,-1.4614,-1.2386,0.6417000000000002,0.8644999999999996,0.2228000000000001,-1.4614,-1.2386,0.6417000000000002,0.8644999999999996,0.2228000000000001,-1.4614,-1.2386,0.6417000000000002,0.8644999999999996,0.0
WSe2_Mo2W60Se128_758a9139-5ed1-476a-b1b9-7edb966f0433,6a6a57c8-3b70-448c-a2da-ffcd2cc6dd08,-1344.96152734,-1.59757876,0.2181999999999999,-1.2435,-1.4617,-62.8946,9.770972660000098,2.4427431650000244,-7.078744880736842,46.951899999999995,47.1701,0.2181999999999999,-1.4617,-1.2435,46.951899999999995,47.1701,0.2181999999999999,-1.4617,-1.2435,46.951899999999995,47.1701,0.2181999999999999,-1.4617,-1.2435,46.951899999999995,47.1701,0.2181999999999999,-1.4617,-1.2435,46.951899999999995,47.1701,0.0
WSe2_W63Se125S1_af39f713-a099-46a6-9099-45d7d384fa36,2205f4e0-cc33-4116-b043-5df842046d6c,-1355.93677182,-1.68457348,0.2310000000000001,-1.2661,-1.4971,-16.5847,9.621128179999914,2.4052820449999786,-7.174268633968254,0.606600000000002,0.8376000000000019,0.2310000000000001,-1.4971,-1.2661,0.606600000000002,0.8376000000000019,0.2310000000000001,-1.4971,-1.2661,0.606600000000002,0.8376000000000019,0.2310000000000001,-1.4971,-1.2661,0.606600000000002,0.8376000000000019,0.2310000000000001,-1.4971,-1.2661,0.606600000000002,0.8376000000000019,0.0
WSe2_W63Se125S2_329cacf6-4b71-45bf-856a-398c3f586bea,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.55754474,-1.60629407,0.1888,-1.2167,-1.4055,-16.5858,7.1273552600000585,1.7818388150000146,-7.171355498631579,0.6992999999999991,0.8880999999999997,0.1888,-1.4055,-1.2167,0.6992999999999991,0.8880999999999997,0.1888,-1.4055,-1.2167,0.6992999999999991,0.8880999999999997,0.1888,-1.4055,-1.2167,0.6992999999999991,0.8880999999999997,0.1888,-1.4055,-1.2167,0.6992999999999991,0.8880999999999997,0.0
WSe2_Mo1W63Se125S2_ae703ee3-8f05-42a2-9118-c5fb383ab433,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.10329525,-1.43802871,1.3009000000000002,-0.7718,-2.0727,-62.8538,1.5148047499999393,0.3787011874999848,-7.22043610078534,46.3001,47.601,1.3009000000000002,-2.0727,-0.7718,46.3001,47.601,1.3009000000000002,-2.0727,-0.7718,46.3001,47.601,1.3009000000000002,-2.0727,-0.7718,46.3001,47.601,1.3009000000000002,-2.0727,-0.7718,46.3001,47.601,0.0
WSe2_W64Se124S1_c61e73ce-d876-4055-bf4d-7abd3c209ac4,5803d5c9-bc95-4481-bf15-f778c5802789,-1367.32413322,-1.59774966,1.2691,-0.8351,-2.1042,-16.5617,7.755366780000031,1.9388416950000078,-7.234519223386243,-0.023500000000002075,1.2455999999999978,1.2691,-2.1042,-0.8351,-0.023500000000002075,1.2455999999999978,1.2691,-2.1042,-0.8351,-0.023500000000002075,1.2455999999999978,1.2691,-2.1042,-0.8351,-0.023500000000002075,1.2455999999999978,1.2691,-2.1042,-0.8351,-0.023500000000002075,1.2455999999999978,0.0
WSe2_Mo1W63Se125S2_e21d07a0-33ca-4898-836d-308bf6bf8c3b,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.12462506,-1.43228128,1.2796999999999998,-0.7922,-2.0719,-62.8054,1.4934749399999419,0.37336873499998546,-7.220547775183246,46.2525,47.532199999999996,1.2796999999999998,-2.0719,-0.7922,46.2525,47.532199999999996,1.2796999999999998,-2.0719,-0.7922,46.2525,47.532199999999996,1.2796999999999998,-2.0719,-0.7922,46.2525,47.532199999999996,1.2796999999999998,-2.0719,-0.7922,46.2525,47.532199999999996,0.0
WSe2_W63Se125_85cd82c1-4901-4874-9cda-72c1d91e6c5a,5e5fa595-9d2e-4ccb-ae60-4f4d95f173e7,-1348.19041178,-1.65153453,0.2141999999999999,-1.2383,-1.4525,-16.5855,13.240488220000088,3.310122055000022,-7.171225594574468,0.6519999999999992,0.8661999999999992,0.2141999999999999,-1.4525,-1.2383,0.6519999999999992,0.8661999999999992,0.2141999999999999,-1.4525,-1.2383,0.6519999999999992,0.8661999999999992,0.2141999999999999,-1.4525,-1.2383,0.6519999999999992,0.8661999999999992,0.2141999999999999,-1.4525,-1.2383,0.6519999999999992,0.8661999999999992,0.0
