_id,descriptor_id,energy,energy_per_atom,fermi_level,homo,lumo,band_gap,homo_lumo_gap,E_1
6141cf0efbfd4bd9ab2c2f7e,6141cf0efbfd4bd9ab2c2f7c,-1391.34041398,-7.284504785235602,-0.1997065,-0.6754,0.4698,1.1452,1.1452,-61.6126
6141cf0f51c1cbd9654b8870,6141cf0e51c1cbd9654b886e,-1384.55282143,-7.287120112789474,-0.22062739,-0.6852,0.3991,1.0843,1.0843,-61.6389
6141cf0fe689ecc4c43cdd4b,6141cf0fe689ecc4c43cdd49,-1397.19614092,-7.277063233958334,-0.18353716,-0.6931,1.1102,1.8033,1.8033000000000001,-61.581
6141cf10b842c2e72e2f2d44,6141cf10b842c2e72e2f2d42,-1396.257593,-7.272174963541667,-0.17980187,-0.6916,1.1179,1.8095,1.8094999999999999,-61.5751
6141cf1051c1cbd9654b8872,6141cf0e51c1cbd9654b886e,-1384.53267685,-7.28701408868421,-0.21319046,-0.6718,0.4384,1.1102,1.1101999999999999,-61.6397
6141cf10b842c2e72e2f2d46,6141cf10b842c2e72e2f2d42,-1396.25628284,-7.272168139791667,-0.18038927,-0.6915,1.1178,1.8093,1.8093,-61.5751
6141cf11cc0e69a0cf28ab35,6141cf10cc0e69a0cf28ab33,-1390.40440954,-7.279604238429319,-0.2006335,-0.6706,0.4778,1.1484,1.1484,-61.6074
6141cf11b842c2e72e2f2d48,6141cf10b842c2e72e2f2d42,-1396.24810744,-7.272125559583333,-0.17931746,-0.691,1.1158,1.8068,1.8068,-61.5759
6141cf11ae4fb853db2e3f14,6141cf11ae4fb853db2e3f12,-1380.0584234,-7.225436771727749,-0.31020518,-0.1302,0.2747,0.36,0.40490000000000004,-61.7756
6141cf11cc0e69a0cf28ab37,6141cf10cc0e69a0cf28ab33,-1390.40062771,-7.279584438272251,-0.20028946,-0.6694,0.4781,1.1475,1.1475,-61.6065
6141cf12b842c2e72e2f2d4a,6141cf10b842c2e72e2f2d42,-1396.25908431,-7.27218273078125,-0.17755774,-0.6911,1.1164,1.8075,1.8075,-61.5754
6141cf12cc0e69a0cf28ab39,6141cf10cc0e69a0cf28ab33,-1390.39939591,-7.279577989057592,-0.19780224,-0.6694,0.4783,1.1477,1.1477,-61.6065
6141cf1202d926221cabc545,6141cf1102d926221cabc543,-1373.26434528,-7.227707080421053,-0.33417039,-0.1539,0.2632,0.356,0.4171,-61.8016
6141cf13cc0e69a0cf28ab3b,6141cf10cc0e69a0cf28ab33,-1390.40067364,-7.279584678743455,-0.19645611,-0.6701,0.4764,1.1465,1.1465,-61.6067
6141cf1302d926221cabc547,6141cf1102d926221cabc543,-1373.26410531,-7.227705817421053,-0.33366628,-0.1484,0.2614,0.3531999999999999,0.40980000000000005,-61.8027
6141cf13b842c2e72e2f2d4c,6141cf10b842c2e72e2f2d42,-1396.25705551,-7.272172164114584,-0.17640524,-0.6917,1.1184,1.8101,1.8101,-61.5747
6141cf133ac25c70a5c6c837,6141cf123ac25c70a5c6c835,-1366.49822785,-7.230149353703704,-0.37285508,-0.1433,0.2172,0.366,0.36050000000000004,-61.8155
6141cf1351c1cbd9654b8874,6141cf0e51c1cbd9654b886e,-1384.53001563,-7.287000082263158,-0.10538131,-0.6644,0.4175,1.0819,1.0819,-61.6394
6141cf1369b0784ffcf8f84f,6141cf1369b0784ffcf8f84d,-1379.11572129,-7.220501158586387,-0.30227608,-0.1227,0.2806,0.3586,0.4033,-61.7669
6141cf13cc0e69a0cf28ab3d,6141cf10cc0e69a0cf28ab33,-1390.40787752,-7.27962239539267,-0.19685413,-0.6812,0.462,1.1432,1.1432,-61.6106
6141cf1302d926221cabc549,6141cf1102d926221cabc543,-1373.27311865,-7.227753256052631,-0.34358571,-0.1624,0.2545,0.3593,0.4169,-61.8052
6141cf143ac25c70a5c6c839,6141cf123ac25c70a5c6c835,-1366.48340017,-7.230070900370371,-0.37715978,-0.1363,0.2028,0.3857,0.3391,-61.8212
6141cf1469b0784ffcf8f851,6141cf1369b0784ffcf8f84d,-1379.12056234,-7.220526504397906,-0.3054999,-0.125,0.2792,0.3581999999999999,0.4042,-61.7691
6141cf14b842c2e72e2f2d4e,6141cf10b842c2e72e2f2d42,-1396.25643955,-7.272168955989584,-0.17837683,-0.6916,1.1178,1.8094,1.8094,-61.5749
