_id,description,base,cell,pbc,defects
619cdd9644389dee486ade34,X1,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Se'}]"
619cdd9644389dee486ade35,X2,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
619cdd9644389dee486ade36,X3,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
619cdd9644389dee486ade37,X4,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
619cdd9644389dee486ade38,X5,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
619cdd9644389dee486ade39,V1,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'W'}]"
619cdd9644389dee486ade3a,V2,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'W'}, {'type': 'vacancy', 'element': 'Se'}]"
619cdd9644389dee486ade3b,V3,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'W'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
619cdd9644389dee486ade3c,V4,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'W'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
619cdd9644389dee486ade3d,V5,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'W'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
619cdd9644389dee486ade3e,V6,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'W'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
619cdd9644389dee486ade3f,S1,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'W', 'to': 'Mo'}]"
619cdd9644389dee486ade40,S2,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'W', 'to': 'Mo'}, {'type': 'vacancy', 'element': 'Se'}]"
619cdd9644389dee486ade41,S3,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'W', 'to': 'Mo'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'vacancy', 'element': 'Se'}]"
619cdd9644389dee486ade42,S4,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'W', 'to': 'Mo'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
619cdd9644389dee486ade43,S5,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'W', 'to': 'Mo'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
619cdd9644389dee486ade44,S6,WSe2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'W', 'to': 'Mo'}, {'type': 'vacancy', 'element': 'Se'}, {'type': 'substitution', 'from': 'Se', 'to': 'S'}]"
